iter	Passed	Remaining
0	10	10316
1	45	22826
2	93	31144
3	123	30852
4	178	35581
5	214	35474
6	253	36025
7	294	36456
8	328	36208
9	361	35799
10	410	36890
11	444	36593
12	494	37513
13	526	37048
14	593	38968
15	643	39600
16	676	39127
17	709	38713
18	793	40986
19	825	40428
20	842	39258
21	908	40383
22	924	39291
23	941	38305
24	974	38022
25	1009	37818
26	1024	36926
27	1042	36200
28	1074	35962
29	1106	35773
30	1137	35559
31	1157	35009
32	1173	34381
33	1207	34317
34	1223	33726
35	1256	33649
36	1289	33574
37	1340	33946
38	1372	33827
39	1407	33771
40	1439	33681
41	1472	33588
42	1506	33532
43	1539	33448
44	1554	32983
45	1571	32601
46	1603	32518
47	1637	32477
48	1721	33415
49	1738	33038
50	1753	32632
51	1791	32655
52	1854	33130
53	1903	33354
54	1922	33023
55	1936	32641
56	1969	32583
57	1985	32247
58	2019	32205
59	2052	32156
60	2070	31877
61	2102	31803
62	2149	31963
63	2169	31727
64	2201	31671
65	2269	32111
66	2317	32277
67	2334	31996
68	2366	31930
69	2384	31673
70	2416	31618
71	2449	31575
72	2466	31323
73	2483	31073
74	2533	31244
75	2565	31196
76	2584	30978
77	2599	30727
78	2615	30496
79	2632	30278
80	2648	30050
81	2682	30027
82	2714	29995
83	2764	30146
84	2780	29936
85	2831	30093
86	2846	29876
87	2865	29699
88	2917	29862
89	2964	29973
90	2980	29772
91	3013	29737
92	3029	29549
93	3081	29704
94	3113	29660
95	3144	29611
96	3163	29449
97	3179	29264
98	3196	29093
99	3227	29050
100	3261	29032
101	3295	29010
102	3328	28987
103	3361	28959
104	3380	28813
105	3411	28772
106	3444	28743
107	3476	28717
108	3510	28695
109	3559	28801
110	3610	28919
111	3659	29016
112	3677	28869
113	3710	28837
114	3742	28803
115	3776	28782
116	3843	29003
117	3859	28845
118	3908	28936
119	3926	28792
120	3976	28883
121	4009	28854
122	4041	28816
123	4076	28801
124	4108	28756
125	4141	28727
126	4192	28821
127	4241	28897
128	4274	28863
129	4290	28714
130	4306	28565
131	4323	28431
132	4340	28295
133	4374	28268
134	4407	28237
135	4423	28103
136	4473	28179
137	4522	28250
138	4573	28326
139	4606	28295
140	4656	28365
141	4703	28417
142	4755	28501
143	4805	28566
144	4854	28625
145	4906	28698
146	4955	28756
147	5007	28825
148	5072	28970
149	5105	28932
150	5152	28969
151	5188	28943
152	5237	28993
153	5254	28866
154	5286	28820
155	5320	28784
156	5386	28922
157	5437	28974
158	5487	29026
159	5520	28982
160	5553	28940
161	5604	28992
162	5619	28853
163	5636	28733
164	5650	28597
165	5685	28565
166	5717	28518
167	5751	28484
168	5768	28362
169	5800	28322
170	5852	28371
171	5883	28321
172	5918	28292
173	5968	28331
174	5983	28209
175	6016	28168
176	6068	28215
177	6098	28164
178	6149	28205
179	6181	28161
180	6216	28129
181	6232	28010
182	6266	27976
183	6313	28000
184	6349	27972
185	6398	28000
186	6465	28107
187	6515	28139
188	6548	28099
189	6581	28058
190	6615	28021
191	6663	28041
192	6697	28002
193	6730	27961
194	6763	27919
195	6780	27812
196	6813	27774
197	6879	27865
198	6930	27895
199	6963	27852
200	7030	27945
201	7080	27972
202	7095	27858
203	7112	27751
204	7146	27712
205	7193	27727
206	7210	27624
207	7228	27523
208	7260	27479
209	7279	27384
210	7310	27336
211	7328	27239
212	7362	27201
213	7393	27153
214	7444	27182
215	7510	27260
216	7561	27285
217	7611	27302
218	7644	27260
219	7693	27276
220	7743	27293
221	7775	27248
222	7792	27151
223	7808	27049
224	7843	27016
225	7875	26972
